Repeticion,MALEZA,Diametro,Tamaño,Tipo,Lugar,Nombre,Aplicado,,Diámetro (CM),Tamaño (CM2),Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,,Nombre,Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,Diámetro promedio (cm),,Total aplicadas,Total No Aplicadas,n
2,1,15,176.63,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,2,,0,HA,Surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,3,,0,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,4,,0,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,5,,0,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,6,,0,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,7,15,176.63,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,8,15,176.63,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,9,10,78.5,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,10,20,314,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,11,10,78.5,HA,Surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,12,,25,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,13,,15,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,14,,15,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
2,15,15,176.63,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,16,20,314,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,17,15,176.63,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
2,18,,25,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,19,,25,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,20,,25,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,21,15,176.63,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,22,15,176.63,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,23,10,78.5,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,24,20,314,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
2,25,10,78.5,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,26,10,78.5,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,27,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,28,,25,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,29,,15,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,30,15,176.63,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,31,10,78.5,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,32,,20,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,33,15,176.63,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,34,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,35,,0,HA,,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,36,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,37,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,38,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,39,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,40,,0,HA,,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,41,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,42,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,43,,0,HA,,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,44,,0,HA,,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
2,45,10,78.5,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
2,46,10,78.5,G,Entre surco,Maíz voluntario,0,,,,,,,,,,,,,,,,,,,,
2,47,,0,HA,,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,48,10,78.5,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
2,49,10,78.5,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
2,50,,25,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
3,1,10,78.5,HA,Surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,2,,9,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,3,15,176.63,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,4,,25,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,5,,25,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,6,10,78.5,HA,Entre surco,Conyza sp,1,,,,,,,,,,,,,,,,,,,,
3,7,,25,HA,Surco,Conyza sp,1,,,,,,,,,,,,,,,,,,,,
3,8,,20,HA,Entre surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
